country_code,year,NE.CON.PRVT.PC.KD,NY.GDP.PCAP.KD
ARE,1988,NA,54839.9932475015
ARE,1989,NA,57887.4266529588
ARE,1990,NA,64592.6090997286
ARE,1991,NA,61637.3164196487
ARE,1992,NA,60452.8005109843
ARE,1993,NA,58267.661003872
ARE,1994,NA,59458.0444757507
ARE,1995,NA,60698.9619874768
ARE,1996,NA,60755.2425168898
ARE,1997,NA,61581.2048323601
ARE,1998,NA,58060.7868464276
ARE,1999,NA,56342.7929546314
ARE,2000,NA,59067.6034675903
ARE,2001,41296.4326826764,56792.5827368877
ARE,2002,41692.5843743377,55301.5095521669
ARE,2003,40519.7490827285,57331.6540537708
ARE,2004,43114.0021892462,59986.4400240902
ARE,2005,41290.1232188903,58672.4846769429
ARE,2006,41582.5772825199,56315.1912267593
ARE,2007,38955.3263600636,48474.2089858078
ARE,2008,36633.5694386589,42033.2335812773
ARE,2009,23059.0640566636,34826.4701147085
ARE,2010,15793.646731117,33344.1211641291
ARE,2011,17340.8594208719,35265.8873943083
ARE,2012,15305.93374679,36567.6222908264
ARE,2013,15943.3343606467,38034.9683968782
ARE,2014,17737.1323311746,39242.275310352
ARE,2015,14222.9696656997,41525.1389031283
ARE,2016,14330.893088644,43457.5134802784
ARE,2017,15546.8610475355,43419.5637407047
ARE,2018,16365.3201710549,43644.1470438183
ARE,2019,17854.9970739819,43785.4172694435
ARE,2020,15499.1469956398,41276.0555102387
ARE,2021,NA,42535.9660450383
ARG,1960,NA,7410.30502869639
ARG,1961,NA,7687.5173380417
ARG,1962,NA,7498.8400606558
ARG,1963,NA,6986.56480206001
ARG,1964,NA,7572.2311661756
ARG,1965,NA,8241.52933666809
ARG,1966,NA,8059.45043146279
ARG,1967,NA,8187.37335067668
ARG,1968,NA,8450.03706417302
ARG,1969,NA,9126.18647909255
ARG,1970,NA,9257.89557164576
ARG,1971,NA,9628.03783789492
ARG,1972,NA,9630.01036600914
ARG,1973,NA,9739.41627064185
ARG,1974,NA,10105.0495075297
ARG,1975,NA,9935.93863469002
ARG,1976,NA,9581.84140311136
